ID_FC,FC,FC Age,FC Age Minimum,FC Age Maximum,FC Age Category,FC estimate Biological Sex,FC (point estimate) height,FC height min estimated,FC height max estimated,FC Recovery Location,FC Estimated Date of Death/Burial,FC Recovery Date,Unnamed: 0,Name,Age,Sex,Personal effects,ID_MP,biolsex_score,age_v1_score,age_v2_score,Final Score T1,Final Score T2
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,736,"800,0000",45,Female,1.0,MP-737,0.98871604,0.02127785,0.04760989,0.021037751591714,0.0470726619056356
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,454,"790,0000",45,Female,1.0,MP-455,0.98871604,0.02127785,0.04760989,0.021037751591714,0.0470726619056356
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,110,"769,0000",45,Female,1.0,MP-111,0.98871604,0.02127785,0.04760989,0.021037751591714,0.0470726619056356
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,308,"796,0000",44,Female,1.0,MP-309,0.98871604,0.02127824,0.04739374,0.0210381371909696,0.0468589509335896
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,329,"791,0000",44,Female,1.0,MP-330,0.98871604,0.02127824,0.04739374,0.0210381371909696,0.0468589509335896
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,632,"789,0000",44,Female,1.0,MP-633,0.98871604,0.02127824,0.04739374,0.0210381371909696,0.0468589509335896
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,592,"756,0000",44,Female,2.0,MP-593,0.98871604,0.02127824,0.04739374,0.0210381371909696,0.0468589509335896
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,797,"815,0000",43,Female,2.0,MP-798,0.98871604,0.0212784,0.04673717,0.021038295385536,0.0462097896432068
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,1070,"82620,0000",43,Female,,MP-1071,0.98871604,0.0212784,0.04673717,0.021038295385536,0.0462097896432068
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,836,"775,0000",43,Female,1.0,MP-837,0.98871604,0.0212784,0.04673717,0.021038295385536,0.0462097896432068
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,455,"894,0000",43,Female,2.0,MP-456,0.98871604,0.0212784,0.04673717,0.021038295385536,0.0462097896432068
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,737,"901,0000",43,Female,2.0,MP-738,0.98871604,0.0212784,0.04673717,0.021038295385536,0.0462097896432068
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,2,"933,0000",43,Female,1.0,MP-3,0.98871604,0.0212784,0.04673717,0.021038295385536,0.0462097896432068
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,838,"784,0000",42,Female,1.0,MP-839,0.98871604,0.02127846,0.04561883,0.0210383547084984,0.0451040689470332
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,535,"904,0000",42,Female,2.0,MP-536,0.98871604,0.02127846,0.04561883,0.0210383547084984,0.0451040689470332
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,839,"892,0000",42,Female,1.0,MP-840,0.98871604,0.02127846,0.04561883,0.0210383547084984,0.0451040689470332
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,239,"803,0000",41,Female,1.0,MP-240,0.98871604,0.02127846,0.04401236,0.0210383547084984,0.0435157262902544
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,459,"788,0000",41,Female,1.0,MP-460,0.98871604,0.02127846,0.04401236,0.0210383547084984,0.0435157262902544
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,365,"804,0000",41,Female,1.0,MP-366,0.98871604,0.02127846,0.04401236,0.0210383547084984,0.0435157262902544
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,941,"755,0000",41,Female,2.0,MP-942,0.98871604,0.02127846,0.04401236,0.0210383547084984,0.0435157262902544
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,942,"906,0000",40,Female,1.0,MP-943,0.98871604,0.0212784,0.04189845,0.021038295385536,0.041425669566137996
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,181,"934,0000",40,Female,1.0,MP-182,0.98871604,0.0212784,0.04189845,0.021038295385536,0.041425669566137996
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,116,"935,0000",40,Female,1.0,MP-117,0.98871604,0.0212784,0.04189845,0.021038295385536,0.041425669566137996
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,461,"895,0000",40,Female,2.0,MP-462,0.98871604,0.0212784,0.04189845,0.021038295385536,0.041425669566137996
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,119,"780,0000",39,Female,2.0,MP-120,0.98871604,0.02127824,0.03927792,0.0210381371909696,0.038834709521836805
